"filename", "language", "Dart", "comment", "blank", "total"
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\constants\string_constants.dart", "Dart", 7, 6, 5, 18
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\main.dart", "Dart", 20, 1, 3, 24
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\page\home\home_page_view.dart", "Dart", 15, 6, 5, 26
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\page\save\save_page.dart", "Dart", 14, 0, 4, 18
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\page\settings\settings_page.dart", "Dart", 14, 0, 4, 18
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\page\splash_screen\cubit\splash_cubit.dart", "Dart", 6, 0, 3, 9
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\page\splash_screen\cubit\splash_state.dart", "Dart", 6, 2, 5, 13
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\page\splash_screen\onboard_pages\app_explain_page.dart", "Dart", 0, 0, 1, 1
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\page\splash_screen\onboard_pages\location_explain_page.dart", "Dart", 29, 4, 3, 36
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\page\splash_screen\onboard_pages\onboard_page_base_class.dart", "Dart", 34, 5, 5, 44
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\page\splash_screen\onboard_pages\welcome_to_app_page.dart", "Dart", 30, 2, 3, 35
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\page\splash_screen\splash_page_view.dart", "Dart", 12, 2, 4, 18
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\utility\widget\bottom_bar\cubit\bottombar_view_model.dart", "Dart", 10, 3, 5, 18
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\utility\widget\bottom_bar\cubit\bottombar_view_state.dart", "Dart", 15, 3, 5, 23
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\utility\widget\bottom_bar\custom_bottombar.dart", "Dart", 88, 2, 10, 100
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\utility\widget\buttons\custom_general_button.dart", "Dart", 35, 11, 10, 56
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\utility\widget\buttons\normal_buttom\normal_buttons.dart", "Dart", 13, 3, 3, 19
"Total", "-", 348, 50, 78, 476
