Date : 2024-06-01 18:10:14
Directory : c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\
Total : 57 files,  2397 codes, 202 comments, 446 blanks, all 3045 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |         57 |      2,397 |        202 |        446 |      3,045 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                            | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                               |         57 |      2,397 |        202 |        446 |      3,045 |
| . (Files)                                                                                                                                                       |          2 |         43 |          2 |         13 |         58 |
| constants                                                                                                                                                       |          4 |         20 |         15 |         17 |         52 |
| constants\enum                                                                                                                                                  |          2 |         11 |          6 |          8 |         25 |
| constants\utility                                                                                                                                               |          2 |          9 |          9 |          9 |         27 |
| core                                                                                                                                                            |         10 |        555 |         30 |        137 |        722 |
| core\cache                                                                                                                                                      |          4 |         74 |         15 |         30 |        119 |
| core\cache\hive                                                                                                                                                 |          2 |         49 |          8 |         20 |         77 |
| core\cache\shared_preferences                                                                                                                                   |          2 |         25 |          7 |         10 |         42 |
| core\localization                                                                                                                                               |          2 |         88 |          5 |         12 |        105 |
| core\models                                                                                                                                                     |          4 |        393 |         10 |         95 |        498 |
| core\models\google_maps_search_model                                                                                                                            |          2 |        329 |          5 |         78 |        412 |
| core\models\local_storage_model                                                                                                                                 |          2 |         64 |          5 |         17 |         86 |
| feature                                                                                                                                                         |         23 |      1,202 |         97 |        189 |      1,488 |
| feature\detail_page                                                                                                                                             |          1 |         33 |          0 |          5 |         38 |
| feature\home                                                                                                                                                    |          7 |        494 |         49 |         89 |        632 |
| feature\home (Files)                                                                                                                                            |          1 |         90 |         10 |         14 |        114 |
| feature\home\bottom_sheet                                                                                                                                       |          4 |        337 |         37 |         56 |        430 |
| feature\home\bottom_sheet (Files)                                                                                                                               |          2 |        306 |         31 |         41 |        378 |
| feature\home\bottom_sheet\cubit                                                                                                                                 |          2 |         31 |          6 |         15 |         52 |
| feature\home\cubit                                                                                                                                              |          2 |         67 |          2 |         19 |         88 |
| feature\onboard_pages                                                                                                                                           |          6 |        240 |         21 |         34 |        295 |
| feature\onboard_pages (Files)                                                                                                                                   |          2 |         34 |          3 |          3 |         40 |
| feature\onboard_pages\base_class                                                                                                                                |          1 |         34 |          5 |          5 |         44 |
| feature\onboard_pages\location                                                                                                                                  |          3 |        172 |         13 |         26 |        211 |
| feature\onboard_pages\location (Files)                                                                                                                          |          1 |        111 |          4 |         13 |        128 |
| feature\onboard_pages\location\cubit                                                                                                                            |          2 |         61 |          9 |         13 |         83 |
| feature\save_page                                                                                                                                               |          4 |        243 |          3 |         27 |        273 |
| feature\save_page (Files)                                                                                                                                       |          1 |        160 |          2 |          8 |        170 |
| feature\save_page\cubit                                                                                                                                         |          2 |         52 |          1 |         16 |         69 |
| feature\save_page\save_page_appbar                                                                                                                              |          1 |         31 |          0 |          3 |         34 |
| feature\settings_page                                                                                                                                           |          1 |         54 |          0 |          4 |         58 |
| feature\splash_screen                                                                                                                                           |          4 |        138 |         24 |         30 |        192 |
| feature\splash_screen (Files)                                                                                                                                   |          2 |         76 |         12 |         14 |        102 |
| feature\splash_screen\cubit                                                                                                                                     |          2 |         62 |         12 |         16 |         90 |
| utility                                                                                                                                                         |         18 |        577 |         58 |         90 |        725 |
| utility\func                                                                                                                                                    |          2 |         93 |         14 |         15 |        122 |
| utility\func\general                                                                                                                                            |          1 |         79 |         12 |         11 |        102 |
| utility\func\validate                                                                                                                                           |          1 |         14 |          2 |          4 |         20 |
| utility\widget                                                                                                                                                  |         16 |        484 |         44 |         75 |        603 |
| utility\widget (Files)                                                                                                                                          |          1 |         12 |          3 |          3 |         18 |
| utility\widget\alert_dialog                                                                                                                                     |          2 |        117 |          4 |          5 |        126 |
| utility\widget\base_widget                                                                                                                                      |          1 |         25 |          0 |          6 |         31 |
| utility\widget\bottom_bar                                                                                                                                       |          3 |        124 |          9 |         23 |        156 |
| utility\widget\bottom_bar (Files)                                                                                                                               |          1 |         99 |          3 |         10 |        112 |
| utility\widget\bottom_bar\cubit                                                                                                                                 |          2 |         25 |          6 |         13 |         44 |
| utility\widget\buttons                                                                                                                                          |          3 |         62 |         17 |         17 |         96 |
| utility\widget\buttons (Files)                                                                                                                                  |          1 |         34 |         11 |         10 |         55 |
| utility\widget\buttons\bottom_sheet_button                                                                                                                      |          1 |         15 |          3 |          4 |         22 |
| utility\widget\buttons\normal_buttom                                                                                                                            |          1 |         13 |          3 |          3 |         19 |
| utility\widget\custom_text_form_field                                                                                                                           |          1 |         21 |          1 |          3 |         25 |
| utility\widget\dropdown_button_formfield                                                                                                                        |          1 |         27 |          1 |          2 |         30 |
| utility\widget\texts                                                                                                                                            |          4 |         96 |          9 |         16 |        121 |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                                                                        | language | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\constants\enum\locale_cache_keys.dart                                           | Dart     |          4 |          1 |          1 |          6 |
| c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\constants\enum\locales.dart                                                     | Dart     |          7 |          5 |          7 |         19 |
| c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\constants\utility\general_padding.dart                                          | Dart     |          0 |          1 |          2 |          3 |
| c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\constants\utility\string_constants.dart                                         | Dart     |          9 |          8 |          7 |         24 |
| c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\core\cache\hive\hive_local_storage_manager.dart                                 | Dart     |          7 |          5 |          5 |         17 |
| c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\core\cache\hive\hive_local_storage_service.dart                                 | Dart     |         42 |          3 |         15 |         60 |
| c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\core\cache\shared_preferences\shared_preferences_manager.dart                   | Dart     |          7 |          5 |          5 |         17 |
| c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\core\cache\shared_preferences\shared_preferences_service.dart                   | Dart     |         18 |          2 |          5 |         25 |
| c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\core\localization\custom_localization.dart                                      | Dart     |         30 |          4 |          9 |         43 |
| c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\core\localization\locale_keys.g.dart                                            | Dart     |         58 |          1 |          3 |         62 |
| c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\core\models\google_maps_search_model\google_maps_search_model.dart              | Dart     |        233 |          1 |         59 |        293 |
| c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\core\models\google_maps_search_model\google_maps_search_model.g.dart            | Dart     |         96 |          4 |         19 |        119 |
| c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\core\models\local_storage_model\save_location.dart                              | Dart     |         22 |          1 |          9 |         32 |
| c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\core\models\local_storage_model\save_location.g.dart                            | Dart     |         42 |          4 |          8 |         54 |
| c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\feature\detail_page\detail_page.dart                                            | Dart     |         33 |          0 |          5 |         38 |
| c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\feature\home\bottom_sheet\cubit\bottom_sheet_cubit.dart                         | Dart     |         15 |          3 |          7 |         25 |
| c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\feature\home\bottom_sheet\cubit\bottom_sheet_state.dart                         | Dart     |         16 |          3 |          8 |         27 |
| c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\feature\home\bottom_sheet\custom_bottom_sheet.dart                              | Dart     |        296 |         29 |         34 |        359 |
| c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\feature\home\bottom_sheet\custom_bottom_sheet_mixin.dart                        | Dart     |         10 |          2 |          7 |         19 |
| c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\feature\home\cubit\home_cubit.dart                                              | Dart     |         47 |          1 |         10 |         58 |
| c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\feature\home\cubit\home_state.dart                                              | Dart     |         20 |          1 |          9 |         30 |
| c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\feature\home\home_page_view.dart                                                | Dart     |         90 |         10 |         14 |        114 |
| c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\feature\onboard_pages\app_explain_page.dart                                     | Dart     |          0 |          1 |          0 |          1 |
| c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\feature\onboard_pages\base_class\onboard_page_base_class.dart                   | Dart     |         34 |          5 |          5 |         44 |
| c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\feature\onboard_pages\location\cubit\location_cubit.dart                        | Dart     |         33 |          6 |          8 |         47 |
| c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\feature\onboard_pages\location\cubit\location_state.dart                        | Dart     |         28 |          3 |          5 |         36 |
| c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\feature\onboard_pages\location\location_explain_page.dart                       | Dart     |        111 |          4 |         13 |        128 |
| c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\feature\onboard_pages\welcome_to_app_page.dart                                  | Dart     |         34 |          2 |          3 |         39 |
| c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\feature\save_page\cubit\save_cubit.dart                                         | Dart     |         29 |          1 |         10 |         40 |
| c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\feature\save_page\cubit\save_state.dart                                         | Dart     |         23 |          0 |          6 |         29 |
| c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\feature\save_page\save_page.dart                                                | Dart     |        160 |          2 |          8 |        170 |
| c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\feature\save_page\save_page_appbar\save_page_custom_appbar.dart                 | Dart     |         31 |          0 |          3 |         34 |
| c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\feature\settings_page\settings_page.dart                                        | Dart     |         54 |          0 |          4 |         58 |
| c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\feature\splash_screen\cubit\splash_cubit.dart                                   | Dart     |         34 |          8 |          9 |         51 |
| c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\feature\splash_screen\cubit\splash_state.dart                                   | Dart     |         28 |          4 |          7 |         39 |
| c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\feature\splash_screen\splash_page_view.dart                                     | Dart     |         58 |          3 |          5 |         66 |
| c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\feature\splash_screen\splash_screen_mixin.dart                                  | Dart     |         18 |          9 |          9 |         36 |
| c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\get_it.dart                                                                     | Dart     |          7 |          1 |          4 |         12 |
| c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\main.dart                                                                       | Dart     |         36 |          1 |          9 |         46 |
| c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\utility\func\general\general_func.dart                                          | Dart     |         79 |         12 |         11 |        102 |
| c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\utility\func\validate\validate_fun.dart                                         | Dart     |         14 |          2 |          4 |         20 |
| c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\utility\widget\alert_dialog\detail_dialog.dart                                  | Dart     |         83 |          4 |          2 |         89 |
| c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\utility\widget\alert_dialog\positive_negative_alert_dialog.dart                 | Dart     |         34 |          0 |          3 |         37 |
| c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\utility\widget\base_widget\base_widget.dart                                     | Dart     |         25 |          0 |          6 |         31 |
| c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\utility\widget\bottom_bar\cubit\bottombar_view_model.dart                       | Dart     |         10 |          3 |          8 |         21 |
| c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\utility\widget\bottom_bar\cubit\bottombar_view_state.dart                       | Dart     |         15 |          3 |          5 |         23 |
| c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\utility\widget\bottom_bar\custom_bottombar.dart                                 | Dart     |         99 |          3 |         10 |        112 |
| c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\utility\widget\buttons\bottom_sheet_button\custom_bottom_sheet_button.dart      | Dart     |         15 |          3 |          4 |         22 |
| c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\utility\widget\buttons\custom_general_button.dart                               | Dart     |         34 |         11 |         10 |         55 |
| c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\utility\widget\buttons\normal_buttom\normal_buttons.dart                        | Dart     |         13 |          3 |          3 |         19 |
| c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\utility\widget\custom_text_form_field\custom_text_form_field.dart               | Dart     |         21 |          1 |          3 |         25 |
| c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\utility\widget\dropdown_button_formfield\custom_dropdown_button_form_field.dart | Dart     |         27 |          1 |          2 |         30 |
| c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\utility\widget\texts\center_text.dart                                           | Dart     |         16 |          2 |          3 |         21 |
| c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\utility\widget\texts\info_text.dart                                             | Dart     |         44 |          0 |          4 |         48 |
| c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\utility\widget\texts\normal_text.dart                                           | Dart     |         19 |          3 |          4 |         26 |
| c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\utility\widget\texts\text_base_class.dart                                       | Dart     |         17 |          4 |          5 |         26 |
| c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\utility\widget\toast_message.dart                                               | Dart     |         12 |          3 |          3 |         18 |
| Total                                                                                                                                                           |          |      2,397 |        202 |        446 |      3,045 |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
